x,y
124,250
135,250
136,251
137,251
140,254
140,260
138,262
137,262
139,262
140,261
141,261
144,258
223,258
225,260
226,260
227,261
230,261
232,259
232,255
230,253
226,253
224,255
219,255
218,254
218,244
217,243
217,239
216,238
216,234
215,233
215,231
214,230
214,228
213,227
213,224
212,223
212,220
211,219
211,214
210,213
210,207
209,206
209,196
208,195
208,192
207,191
207,179
206,178
206,171
207,170
207,169
208,168
208,167
209,166
209,165
211,163
211,156
210,155
210,153
209,152
209,151
207,149
207,148
206,147
206,146
204,144
204,143
200,139
202,137
203,137
205,135
206,135
208,133
209,133
210,132
211,132
213,134
214,134
215,135
215,136
217,136
218,135
219,135
220,134
222,134
224,132
225,132
226,131
228,131
230,129
231,129
232,128
233,128
235,130
236,130
237,129
238,129
239,128
240,128
241,127
244,127
245,126
249,126
251,124
251,123
252,122
251,121
251,120
250,119
250,118
249,117
249,115
248,114
248,113
247,112
247,110
246,109
246,106
245,105
245,102
244,101
244,100
243,99
243,98
242,97
242,95
243,94
244,94
245,93
248,93
249,92
249,88
251,86
251,85
253,83
253,82
254,81
254,80
255,79
255,77
256,76
256,75
257,74
257,71
258,70
258,67
259,66
259,61
260,60
260,58
259,57
259,52
258,51
258,49
256,47
256,45
255,44
255,43
251,39
251,38
248,35
248,34
247,34
246,33
245,33
243,31
242,31
241,30
240,30
239,29
238,29
236,27
235,27
232,24
231,24
229,22
228,22
227,21
226,21
225,20
223,20
222,19
217,19
216,18
215,18
214,17
213,17
212,16
204,16
203,17
200,17
197,14
195,14
193,16
191,16
190,15
190,14
189,13
189,9
185,5
184,5
183,4
182,4
181,3
179,3
178,2
175,2
174,1
