x,y
75,106
75,107
73,109
71,107
71,106
70,105
70,104
69,103
69,101
68,100
68,99
67,98
67,95
66,94
66,92
65,91
65,89
64,88
64,85
63,84
63,82
62,81
62,73
61,72
61,67
62,66
62,59
63,58
63,57
64,56
64,54
65,53
65,52
66,51
66,50
67,49
67,47
69,45
69,44
71,42
71,41
73,39
73,38
77,34
77,33
81,29
81,28
84,25
84,24
86,22
86,20
85,21
84,21
83,22
82,22
79,25
78,25
76,27
75,27
68,34
68,35
67,36
65,36
63,34
63,33
62,32
62,26
61,25
61,16
