x,y
372,95
371,94
371,92
370,91
370,89
369,88
369,86
368,85
368,84
367,83
367,81
366,80
366,79
365,78
365,77
363,75
363,74
361,72
361,71
357,67
357,66
355,64
354,64
348,58
347,58
344,55
343,55
341,53
340,53
338,51
337,51
335,49
334,49
333,48
332,48
331,47
330,47
329,46
328,46
327,45
326,45
325,44
324,44
323,43
322,43
321,42
319,42
318,41
317,41
316,40
315,40
314,39
312,39
311,38
310,38
309,37
307,37
306,36
305,36
304,35
302,35
301,34
299,34
298,33
296,33
295,32
293,32
292,31
290,31
289,30
287,30
286,29
284,29
283,28
281,28
280,27
278,27
277,26
275,26
274,25
271,25
270,24
266,24
265,23
262,23
261,22
256,22
255,21
