x,y
490,77
489,78
488,78
486,80
486,81
485,82
485,85
486,86
486,91
484,93
484,94
478,100
478,101
476,103
476,106
478,108
478,110
477,111
477,115
481,119
481,121
480,122
480,135
479,136
479,156
478,157
478,172
479,173
479,175
478,176
478,178
477,179
477,184
478,185
478,186
480,188
480,191
481,192
481,194
480,195
480,199
479,200
479,209
478,210
449,210
447,208
447,205
446,204
446,199
445,198
445,192
444,191
444,187
443,186
443,180
442,179
442,172
441,171
441,166
440,165
440,157
439,156
439,149
438,148
438,141
439,140
439,139
440,138
440,137
441,136
440,135
440,134
439,133
439,132
437,130
437,129
436,128
436,127
435,126
435,125
434,124
434,121
435,120
435,119
436,118
436,117
439,114
440,115
441,115
442,116
443,116
443,113
442,112
442,111
440,109
440,108
438,106
438,101
437,100
437,96
436,95
436,90
434,88
430,88
428,90
428,91
427,92
427,95
428,96
428,105
426,107
425,107
423,109
423,131
422,132
422,138
421,139
421,140
422,141
422,143
423,144
423,145
424,146
424,148
425,149
425,172
426,173
426,198
427,199
427,205
426,206
426,208
424,210
387,210
384,207
384,203
383,202
383,199
384,198
384,184
386,182
390,186
392,186
393,185
393,184
392,183
390,183
387,180
386,180
384,178
383,178
382,177
381,177
378,174
378,173
381,170
382,170
383,169
384,169
385,168
387,168
390,165
390,163
389,162
388,162
385,159
385,158
386,157
386,156
388,154
388,153
389,152
389,148
388,147
388,146
387,145
387,144
381,144
377,148
375,148
374,147
369,147
368,148
367,148
364,151
362,151
361,150
361,149
360,148
358,148
357,149
355,149
352,152
352,154
353,155
353,157
354,157
355,158
357,158
359,160
359,161
356,164
355,164
354,165
354,166
353,167
353,168
354,169
354,170
355,170
356,171
363,171
367,175
367,176
366,177
366,178
362,182
362,183
358,187
356,187
355,188
354,188
354,189
356,191
358,189
358,188
360,186
361,186
362,185
363,185
364,186
364,188
365,189
365,192
364,193
364,200
365,201
365,203
364,204
364,207
365,208
363,210
333,210
330,207
330,205
329,204
329,202
328,201
328,198
327,197
327,192
326,191
326,180
325,179
325,174
328,171
329,171
329,170
330,169
329,168
329,167
328,166
328,164
327,163
327,161
326,160
326,156
325,155
325,151
324,150
324,147
323,146
323,143
322,142
324,140
324,139
325,138
324,137
324,135
323,134
323,132
322,131
322,129
324,127
325,127
325,116
326,115
326,112
325,111
325,110
324,110
320,106
319,106
318,105
318,104
317,103
317,99
320,96
321,96
322,95
326,95
326,94
325,93
324,93
322,91
322,90
321,89
321,87
319,85
318,85
317,84
314,84
313,85
312,85
311,86
310,86
310,87
309,88
309,89
308,90
308,92
306,94
305,94
304,95
305,96
308,96
309,97
310,97
312,99
312,101
313,102
312,103
312,104
311,105
310,105
308,107
307,107
306,108
305,108
304,109
303,109
302,110
302,111
301,112
301,116
302,117
302,124
301,125
301,126
302,127
302,128
303,128
304,129
304,136
303,137
303,140
302,141
302,145
301,146
301,149
300,150
300,154
299,155
299,158
298,159
298,163
297,164
297,167
296,168
296,169
295,170
295,173
297,175
297,179
296,180
296,185
295,186
295,192
294,193
294,199
293,200
293,203
292,204
292,206
291,207
291,208
289,210
253,210
251,208
251,198
250,197
250,177
249,176
249,141
250,140
250,123
251,122
251,115
253,113
254,113
254,109
253,108
253,106
252,105
252,102
255,99
256,99
257,100
258,100
258,99
259,98
259,97
260,96
261,96
263,98
263,100
262,101
262,102
263,103
263,112
262,113
262,116
263,117
263,122
262,123
262,167
263,168
263,174
264,174
264,95
266,93
267,93
268,92
269,92
270,91
272,91
273,90
274,90
275,89
275,87
274,86
273,86
272,85
271,85
269,83
268,83
267,82
266,82
265,81
262,81
